V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0576,-4.9548,-14.479,-15.039,231.45,42.165,-3.2582,8.7299,-1.0674,32.554,4.304,6.0305,4.002,10.174,2.1718,12.171,17.975,2.7052,54.432
1.045,1.07,1.0518,-5.6471,-15.693,-17.373,262.26,65.247,-4.9103,5.8713,1.133,40.36,11.282,2.8044,3.6163,4.4814,1.324,9.3846,17.041,6.7574,44.618
1.045,1.07,1.0584,-4.8235,-13.227,-14.034,224.95,49.551,-2.1694,9.8253,-0.17418,24.714,14.99,4.6807,2.694,2.4382,0.75868,13.524,7.7755,3.6914,25.607
1.045,1.07,1.062,-4.3666,-12.371,-12.546,204.2,38.157,-4.3783,6.7388,-0.071825,19.65,6.2622,4.0879,4.56,6.6212,1.1649,12.163,12.327,4.8601,44.958
1.045,1.07,1.0538,-4.7989,-13.595,-14.48,223.86,43.483,-1.1338,7.4964,-2.4031,29.325,13.322,6.8619,3.6745,3.4741,2.2196,11.887,13.927,5.765,43.6
1.045,1.07,1.0538,-5.2028,-14.416,-15.167,242.07,61.433,-4.1716,6.7038,0.69885,27.276,8.1435,6.8361,3.2347,5.0484,1.5289,12.545,15.454,5.9456,45.77
1.045,1.07,1.0563,-4.8005,-14.944,-15.091,224.79,27.83,-2.56,6.6066,0.58931,28.126,9.6404,6.0328,5.0666,7.5656,2.118,22.657,16.758,5.5749,49.004
1.045,1.07,1.0581,-4.924,-13.735,-14.471,229.47,52.163,-4.0897,6.953,-0.60231,26.7,13.296,4.6113,4.8385,5.8597,2.1312,12.039,8.1369,4.1619,26.056
1.045,1.07,1.0595,-4.7108,-13.62,-14.048,219.81,43.881,-3.9717,3.7612,-1.1837,28.746,6.3281,4.6014,1.4254,5.4984,0.82042,18.576,13.456,4.2,44.037
1.045,1.07,1.0555,-5.8585,-15.988,-16.882,271.85,82.814,-5.5862,6.9428,0.73667,29.553,6.2105,2.5439,4.0135,6.5844,1.3236,12.457,17.639,5.7964,46.238
1.045,1.07,1.0626,-3.7864,-11.098,-11.352,177.83,15.853,-3.95,5.2828,-0.92641,21.614,8.9199,6.0005,5.304,4.9192,1.8003,12.173,9.0624,3.2427,36.889
1.045,1.07,1.0577,-4.7385,-13.114,-13.85,221.1,47.585,-6.0909,8.265,-0.7737,23.547,9.8686,7.1199,4.7103,6.5543,2.3713,5.8253,16.146,2.8193,53.621
1.045,1.07,1.0493,-5.4968,-16.453,-17.311,256.4,46.726,-4.6382,8.7147,0.7296,30.965,15.832,8.0316,4.7702,4.5131,2.5739,18.677,22.112,6.1538,55.182
1.045,1.07,1.0535,-4.5582,-13.038,-14.521,213.23,25.501,-3.302,10.248,0.57646,39.625,9.3444,7.1038,4.9314,3.4075,1.0084,6.2788,14.684,4.6764,46.633
1.045,1.07,1.0577,-5.0169,-13.843,-14.351,233.55,60.617,-4.4733,6.0832,-1.3079,24.061,9.8964,7.338,4.6744,5.1136,1.6681,13.735,10.143,2.2173,32.141
1.045,1.07,1.0533,-5.606,-15.042,-16.488,260.18,74.694,-5.5327,7.1798,-0.44053,34.15,9.8555,3.7634,2.068,7.5815,1.3316,3.7058,17.814,5.9795,48.77
1.045,1.07,1.059,-4.1386,-11.585,-12.182,193.72,29.066,-4.0308,7.3935,0.48462,28.27,2.4126,6.9544,2.7302,5.9502,1.4887,8.4588,12.074,4.5786,45.751
1.045,1.07,1.0498,-4.987,-13.886,-14.894,231.94,54.812,-3.0051,3.4355,-0.54595,37.077,3.7481,8.9334,4.1118,6.5732,1.9002,9.0192,13.17,8.2395,39.663
1.045,1.07,1.0538,-5.1734,-15.261,-16.405,241.69,37.44,-4.2572,10.891,1.0553,36.358,12.857,5.5362,3.4491,6.1677,1.5804,13.654,18.314,4.3051,50.778
1.045,1.07,1.0576,-4.9737,-14.071,-14.614,231.79,53.143,-3.7657,6.0503,-1.3112,28.025,3.8256,4.2581,2.378,5.0682,1.2613,14.982,19.053,5.4926,58.476
1.045,1.07,1.0554,-5.1366,-13.579,-14.487,238.84,67.34,-3.4607,9.2962,-1.3641,30.805,11.111,7.8073,2.7012,6.0944,1.038,10.038,1.8541,2.9574,5.8043
1.045,1.07,1.0518,-5.2514,-15.698,-16.558,244.91,44.105,-5.0605,5.3713,-0.094659,31.259,14.468,6.0121,3.3542,8.9995,1.4162,13.061,22.285,7.0653,58.66
1.045,1.07,1.0479,-4.9564,-13.838,-15.299,230.86,45.366,-2.6417,7.2496,0.08848,38.193,8.5614,9.7419,3.9443,1.0346,1.9563,8.8934,17.034,7.1001,49.393
1.045,1.07,1.0553,-5.0569,-14.595,-14.792,235.88,52.633,-4.5671,7.3024,-0.54832,20.231,10.427,7.3353,6.0245,5.2145,2.0152,16.977,16.662,5.8394,49.836
1.045,1.07,1.055,-4.5604,-12.572,-13.388,212.71,44.037,-4.4834,6.2126,-0.65316,31.073,2.7279,7.2385,3.4966,4.8766,1.3921,8.1045,14.221,6.7982,48.353
1.045,1.07,1.0585,-4.7909,-13.513,-13.083,223.71,54.519,-3.4315,9.3117,0.38435,7.0826,8.9491,6.7521,3.1145,6.4235,1.6818,16.886,17.249,6.6248,55.987
1.045,1.07,1.0556,-5.0967,-14.332,-14.939,237.05,59.601,-1.6587,3.3167,-0.98627,29.75,9.7483,5.4438,2.9059,5.8628,1.1648,16.95,8.9384,5.7062,27.119
1.045,1.07,1.0504,-5.675,-16.372,-17.64,264.06,57.591,-1.6121,8.4037,0.73019,37.768,12.456,5.1419,2.3717,4.8441,2.2758,15.867,19.92,5.7728,49.989
1.045,1.07,1.0549,-5.3485,-15.617,-16.703,249.87,42.22,-2.454,14.582,-0.11221,38.916,7.4732,4.1238,3.2602,7.0326,1.9354,13.47,20.682,3.7652,55.987
1.045,1.07,1.0557,-4.6572,-12.93,-14.09,217.37,40.824,-6.366,7.8861,-0.8863,33.601,10.632,7.691,3.2051,4.9177,1.3327,7.4031,10.839,3.4607,36.169
1.045,1.07,1.0521,-4.9412,-14.517,-15.684,230.53,36.489,-1.4577,5.7531,1.1,39.353,12.316,6.5589,3.5708,9.6258,1.8591,10.172,11.828,6.1066,34.437
1.045,1.07,1.0537,-5.3759,-15.425,-16.014,250.5,57.311,-3.821,9.0696,-0.28182,32.634,7.6453,6.6864,4.4539,6.5085,1.0764,18.24,12.566,5.7479,35.338
1.045,1.07,1.0523,-5.3184,-14.676,-15.623,247.29,64.689,-5.767,6.3882,-0.35188,30.296,9.5838,7.5716,3.3282,3.0053,2.6783,13.785,14.469,5.7327,41.79
1.045,1.07,1.0561,-5.1077,-14.433,-15.122,237.82,55.85,-1.4297,6.0087,-1.9243,26.062,16.367,4.8852,2.9885,6.7018,1.9684,13.761,10.977,4.824,32.975
1.045,1.07,1.0553,-4.3642,-12.854,-13.67,204.3,24.116,-2.6038,6.5209,-1.4593,32.145,7.8557,6.5779,2.9159,5.4231,0.93734,10.552,18.261,6.4846,59.207
1.045,1.07,1.0455,-5.421,-16.182,-17.897,252.61,40.347,-5.3412,5.6485,0.56499,49.722,12.533,7.9699,2.8519,6.4465,1.8951,13.278,18.337,7.9529,44.722
1.045,1.07,1.053,-5.624,-16.447,-16.864,262.05,60.288,-4.8022,9.2927,-0.067067,30.88,7.1737,7.341,3.5541,4.8568,1.9931,24.002,18.216,4.7308,47.474
1.045,1.07,1.0566,-5.0126,-14.226,-15.345,233.74,46.141,-3.8167,8.0162,-1.1101,33.879,11.935,2.8265,3.0494,4.3092,1.6883,12.397,14.506,5.5978,43.887
1.045,1.07,1.0591,-4.0911,-12.277,-12.153,192.09,20.524,-1.8387,7.528,-0.10362,17.065,8.9992,8.0631,4.9659,8.109,1.5133,13.609,14.504,4.9365,52.464
1.045,1.07,1.0553,-5.0128,-14.569,-15.5,233.55,47.197,-5.3267,2.7934,-1.8048,32.112,10.894,4.5333,4.5932,7.9154,2.4595,10.079,18.978,5.8167,55.553
1.045,1.07,1.0583,-4.5649,-13.361,-13.916,213.35,34.168,-2.8578,5.2734,-0.36652,25.56,12.138,4.2327,2.9085,6.6022,1.8669,13.525,14.819,5.7388,48.703
1.045,1.07,1.0545,-4.7413,-13.462,-13.712,221.53,45.391,-5.2955,9.6608,-1.0882,19.4,6.954,10.145,3.7915,4.947,1.004,12.048,20.843,5.0643,65.776
1.045,1.07,1.0559,-4.2455,-11.361,-12.587,198.16,35.871,-4.5918,6.5601,0.20215,32.732,8.7703,6.4281,1.8293,3.4661,2.283,4.7002,6.7738,6.4242,25.125
1.045,1.07,1.0498,-5.6773,-14.986,-16.786,263.08,78.321,-4.746,5.6953,1.14,39.339,8.5429,6.9401,3.2624,5.9992,1.8453,1.8859,14.976,4.7482,40.21
1.045,1.07,1.0577,-4.5604,-12.911,-13.705,212.98,37.837,-2.4367,6.9674,-1.0951,26.494,11.294,5.7553,3.2631,6.8332,1.6172,7.3484,15.411,3.9961,51.739
1.045,1.07,1.0545,-5.3533,-15.136,-16.189,249.08,58.25,-2.6561,6.5631,-0.53661,36.567,11.135,6.1453,3.3978,6.5836,1.9376,14.389,10.564,2.8833,29.947
1.045,1.07,1.0602,-4.6821,-12.783,-13.114,218.39,52.604,-5.1212,8.0118,0.24272,11.665,11.38,4.5613,6.0978,6.968,1.123,4.5495,17.705,4.8023,60.329
1.045,1.07,1.0538,-5.177,-14.746,-15.429,241.16,55.143,-4.1783,6.7069,-0.90186,31.757,8.9958,7.5751,5.1932,7.2693,1.62,13.978,11.661,5.1093,34.36
1.045,1.07,1.0551,-5.3263,-14.914,-15.749,247.64,63.518,-3.9745,4.8455,-0.17807,26.269,11.067,4.3406,3.9906,5.499,2.0652,11.779,18.624,5.7281,53.011
1.045,1.07,1.0562,-4.9422,-14.239,-14.729,231.01,42.907,-4.4391,11.722,0.23347,25.334,11.129,6.3905,3.8499,9.3361,2.1059,11.155,15.03,5.1981,46.379
1.045,1.07,1.0539,-5.5749,-15.857,-16.887,259.26,63.252,-4.1576,6.4522,-0.51257,35.257,10.906,6.0823,3.7455,8.76,2.0229,12.361,15.652,2.8285,42.026
1.045,1.07,1.0531,-5.3395,-15.748,-17.184,248.78,44.038,-4.9411,5.1957,1.4059,39.781,15.006,3.8807,5.1819,5.6679,0.8239,13.423,16.762,5.0311,44.584
1.045,1.07,1.0564,-5.6697,-16.873,-17.262,264.25,57.851,-3.5656,8.4093,-1.0873,32.543,10.035,4.413,5.646,9.5845,1.9353,22.042,15.235,3.1272,39.362
1.045,1.07,1.0553,-5.2887,-15.287,-15.524,246.62,56.509,-3.8859,9.1721,-0.81956,24.755,7.6683,6.3478,3.7688,6.3712,2.2446,19.108,17.992,5.6071,51.077
1.045,1.07,1.0536,-5.4091,-14.991,-15.784,251.55,65.741,-2.8222,7.93,0.67953,30.552,9.2646,7.3097,2.2636,4.2501,1.0801,16.93,11.475,4.2905,32.697
1.045,1.07,1.0584,-5.2884,-14.781,-14.921,246.19,66.464,-3.5716,7.9202,0.78242,18.648,6.0152,4.5673,2.7818,7.6229,1.1756,15.638,18.289,4.6889,53.754
1.045,1.07,1.0578,-4.6253,-13.124,-14.364,216.11,33.912,-6.0717,7.8677,0.31993,31.4,9.7257,3.619,4.4619,4.4787,1.5195,5.3369,19.601,4.6646,63.191
1.045,1.07,1.0521,-5.3964,-15.59,-16.702,251.4,51.505,-4.2254,8.0442,1.3638,37.505,8.9478,4.8901,4.4402,4.9324,1.3121,15.441,16.656,7.0799,45.063
1.045,1.07,1.0539,-5.1123,-13.671,-15.343,237.66,58.22,-4.5355,7.2051,-0.25912,39.984,8.0007,5.1383,3.5115,2.76,1.6943,5.5561,11.673,4.4131,35.492
1.045,1.07,1.0579,-5.3025,-15.508,-16.162,247.78,45.177,-2.35,14.162,-0.53945,36.681,5.1555,2.7537,4.2929,7.265,1.4621,18.65,14.943,4.179,42.264
1.045,1.07,1.0613,-4.3363,-11.999,-12.693,202.82,34.565,-3.069,9.4242,0.052599,19.549,14.239,3.9597,3.7393,6.8768,1.161,4.3053,12.439,3.4926,45.598
1.045,1.07,1.0594,-4.7488,-13.298,-14.01,221.56,45.636,-3.2012,7.5508,-0.015587,27.26,8.9422,3.041,3.1127,3.564,1.2446,14.101,12.044,5.1802,39.864
1.045,1.07,1.0563,-5.0113,-14.658,-15.134,233.93,45.937,-5.0094,7.1572,-1.499,31.242,8.063,6.3014,4.9887,6.4626,1.7198,18.138,12.8,4.7184,38.668
1.045,1.07,1.0544,-6.0026,-16.786,-17.427,278.94,79.557,-3.3979,10.677,-0.45782,27.602,9.4303,6.1822,4.9087,6.4694,1.238,16.731,18.312,1.8955,45.935
1.045,1.07,1.0589,-4.553,-13.157,-13.657,212.64,38.391,-4.9244,4.1349,-0.23462,25.93,9.2059,4.2437,4.5172,6.5495,1.5074,13.09,12.452,6.1343,42.148
1.045,1.07,1.0572,-4.9739,-13.643,-14.503,231.67,55.473,-4.4065,7.7419,-0.14526,25.412,9.3493,7.1773,2.1218,6.0201,1.5204,7.7449,17.51,1.5217,55.134
1.045,1.07,1.0554,-5.1924,-14.944,-15.576,241.96,52.552,-3.2933,6.7636,1.4357,29.479,5.3366,6.7923,2.8491,8.6078,1.4877,13.097,20.216,3.4061,58.068
1.045,1.07,1.0581,-4.8881,-14.161,-14.503,228.29,44.805,-3.7401,8.2262,-0.38317,22.926,11.467,4.8429,3.5234,6.749,1.8422,15.918,14.95,5.1552,46.722
1.045,1.07,1.06,-4.7052,-14.24,-14.364,219.93,35.604,-5.1166,3.0391,1.8229,21.505,9.2256,5.0734,5.0598,6.8466,1.0008,19.711,17.644,3.655,55.346
1.045,1.07,1.0586,-5.2435,-14.954,-15.26,244.06,61.995,-4.1442,4.5168,-0.26558,24.979,5.2813,4.0157,3.1482,5.6828,1.245,19.456,17.414,4.2268,50.956
1.045,1.07,1.0521,-5.2613,-15.465,-16.731,245.34,42.642,-3.8424,7.4087,0.88381,42.577,10.648,5.3745,4.819,5.9823,1.9775,15.312,13.227,5.9224,36.187
1.045,1.07,1.0579,-5.1142,-14.715,-15.563,238.89,44.224,-3.2362,12.415,-1.0764,32.703,10.811,5.5161,5.5357,6.7909,1.9604,12.841,13.634,0.88016,40.674
1.045,1.07,1.0483,-6.2816,-18.226,-19.02,291.81,75.85,-1.1071,9.1448,0.3519,40.133,8.2037,8.41,2.2991,7.3933,0.60932,24.554,16.445,3.9651,37.177
1.045,1.07,1.0454,-6.1793,-18.4,-19.806,287.5,59.427,-4.8287,9.2512,1.6214,50.023,10.438,8.2066,4.3973,11.229,1.3151,16.551,17.686,5.5281,38.919
1.045,1.07,1.0598,-4.1335,-12.161,-12.36,193.71,25.074,-4.6929,5.1706,-0.33451,21.211,9.6181,6.0603,3.0665,4.1787,1.3315,16.571,12.172,5.7728,44.775
1.045,1.07,1.0524,-5.0533,-13.165,-14.326,234.74,66.347,-3.4605,7.5597,0.85965,28.864,11.359,9.1987,2.3831,2.1711,0.93826,8.2516,6.2911,4.5206,19.841
1.045,1.07,1.0596,-5.052,-14.685,-14.892,235.73,50.052,-3.705,7.1924,1.2611,28.075,1.1942,2.6092,3.4069,7.7081,2.1561,19.587,16.314,5.8985,49.242
1.045,1.07,1.0536,-5.1509,-13.356,-14.157,239.17,74.582,-3.5913,7.6107,-1.0477,23.822,7.104,6.8749,3.5908,1.6836,0.70081,9.2232,11.428,7.1826,35.584
1.045,1.07,1.0552,-4.7953,-13.013,-14.356,223.31,49.126,-4.6336,6.5227,-0.52125,38.961,3.5355,6.2887,3.2124,4.8275,1.6437,5.7783,12.312,4.3711,40.086
1.045,1.07,1.0524,-5.291,-14.758,-15.422,246.23,62.345,-4.0645,7.7648,0.36845,28.857,5.8252,8.4259,4.1092,8.164,1.5763,10.426,16.4,5.7468,47.349
1.045,1.07,1.0599,-4.5772,-13.458,-13.413,214.48,34.672,-5.7847,10.615,-0.1608,19.34,1.7313,6.362,3.6091,7.4851,1.033,14.354,23.813,4.2396,75.856
1.045,1.07,1.048,-6.0001,-16.687,-18.479,278.12,75.38,-3.0708,4.2497,0.93317,42.523,11.513,5.9388,2.7001,2.1918,1.7127,13.207,19.553,4.8564,46.799
1.045,1.07,1.0541,-5.4638,-15.583,-16.506,254.52,56.717,-3.1379,10.103,0.89085,32.237,12.882,2.8075,3.2417,5.6103,1.2283,16.263,13.754,7.8048,37.69
1.045,1.07,1.0542,-5.3174,-16.067,-16.388,248.54,43.305,-6.3011,10.525,0.5461,35.139,3.028,5.3072,3.1866,8.5571,1.7995,22.812,19.046,7.5855,51.127
1.045,1.07,1.0547,-5.068,-13.747,-15.465,235.26,58.097,-4.1045,1.3188,0.46026,40.648,9.8053,3.9393,2.1848,5.4344,1.9616,5.0386,11.419,4.4231,34.585
1.045,1.07,1.054,-4.9583,-14.502,-15.542,231.55,38.341,-3.1904,8.3694,-2.6926,38.496,8.8968,5.5865,4.9981,6.5858,1.574,11.589,16.526,5.5452,48.506
1.045,1.07,1.0562,-4.7594,-13.243,-13.658,221.7,52.765,-2.6346,4.5702,0.13916,18.024,9.5613,6.9603,3.0711,4.2214,1.7686,11.686,18.075,5.4418,58.462
1.045,1.07,1.0585,-3.9898,-12.314,-12.714,187.63,7.7172,-2.1053,7.1038,-0.9797,31.331,6.0684,5.6683,5.0027,6.8027,1.6414,14.379,13.709,6.4552,48.338
1.045,1.07,1.0586,-5.0477,-14.602,-14.649,235.41,53.408,-3.3316,6.4379,0.96657,22.378,10.688,4.8814,3.198,7.0751,1.9792,22.438,8.0309,5.3047,24.669
1.045,1.07,1.0613,-4.4805,-13.591,-13.419,209.95,30.846,-5.6575,5.9594,-1.5217,17.373,4.4486,3.3388,4.2879,4.1478,1.4415,20.502,25.075,6.2301,76.332
1.045,1.07,1.0588,-4.4501,-13.435,-13.456,208.59,27.845,-3.3304,7.5527,-2.0092,19.185,9.2028,5.7237,4.1563,6.4116,1.6296,16.115,21.627,5.6315,68.635
1.045,1.07,1.0554,-5.2189,-14.115,-14.533,243.1,65.521,-3.1118,12.795,0.3185,20.596,8.9335,6.1547,3.5884,3.4028,0.46419,14.455,11.999,6.6877,36.503
1.045,1.07,1.0574,-4.671,-13.023,-13.727,217.87,46.305,-5.6455,5.9895,-0.8614,31.606,5.0313,5.9131,5.1351,7.3346,0.66947,9.518,8.8396,5.6452,29.983
1.045,1.07,1.0562,-5.1702,-14.418,-15.78,240.84,50.462,-2.5568,9.1874,1.5733,34.29,10.943,2.5934,3.562,4.1655,0.70938,9.1572,16.145,4.5633,47.414
1.045,1.07,1.0553,-5.3245,-15.868,-16.526,248.6,44.991,-3.9678,9.6215,-0.66096,33.97,11.418,5.2823,2.6973,7.2309,1.3066,20.332,16.744,4.0043,45.731
1.045,1.07,1.0538,-5.1272,-15.172,-15.963,239.53,40.063,-4.28,9.9113,-0.034409,32.737,9.1069,5.7712,2.9385,7.985,1.3663,13.485,21.927,5.9596,60.704
1.045,1.07,1.0564,-4.9577,-13.849,-14.683,230.86,53.102,-4.161,5.1458,0.45618,28.452,9.5209,4.8114,4.2087,4.6987,1.7646,12.126,12.813,5.6515,40.127
1.045,1.07,1.053,-5.4385,-15.307,-15.932,252.73,67.768,-3.3825,4.2227,0.18192,26.93,9.1508,7.3286,1.9064,9.415,1.5848,12.193,18.154,5.3227,50.282
1.045,1.07,1.0573,-4.4345,-12.397,-12.693,206.87,44.936,-4.7382,3.3755,-0.62642,20.94,3.8939,6.0148,3.7958,2.5452,1.465,13.832,15.965,7.8895,55.536
1.045,1.07,1.0552,-5.4038,-15.012,-16.065,251.36,63.071,-4.3499,7.7564,-0.17431,33.997,7.4233,4.422,4.1207,4.3684,2.7142,13.175,15.138,4.4315,43.001
1.045,1.07,1.0633,-4.1283,-11.928,-12.008,193.61,27.24,-5.1739,7.9794,-0.028344,19.079,6.9128,3.4919,2.5951,7.9394,1.3795,12.313,12.663,5.4324,48.294
1.045,1.07,1.0508,-6.0262,-17.822,-18.419,280.42,65.836,-2.1862,8.9841,-0.18182,34.976,9.7261,6.2365,4.5617,10.269,1.9124,20.213,19.968,5.1271,46.833
1.045,1.07,1.0517,-5.0586,-15.388,-16.712,236.47,28.233,-4.7033,7.8924,-0.65892,46.633,7.2971,6.0023,3.077,6.2361,1.1747,15.138,21.494,5.344,56.783
1.045,1.07,1.0601,-5.0234,-13.49,-13.564,233.7,69.734,-3.8082,7.1468,0.21816,18.03,3.7871,5.1976,4.0929,3.3031,1.22,17.799,9.0378,4.0415,29.29
1.045,1.07,1.0562,-4.7992,-13.819,-14.386,224.48,38.126,-3.7146,12.02,0.036268,23.285,11.212,6.0299,4.1551,6.5259,1.6268,10.259,19.107,5.6295,59.498
1.045,1.07,1.0522,-4.7557,-12.438,-13.91,221.38,52.586,-4.2375,9.0846,-1.5184,33.18,6.9505,9.7716,2.2129,4.9368,1.0976,-2.2154,16.688,3.7291,54.475
1.045,1.07,1.0565,-4.9171,-14.114,-14.891,229.46,44.124,-3.8675,7.5873,-0.18569,32.318,6.8181,3.0032,3.7805,6.8531,2.3285,12.511,15.418,7.7112,47.351
1.045,1.07,1.0534,-5.2113,-14.806,-15.551,242.61,57.339,-5.5914,5.4582,-0.85999,30.355,10.789,7.6965,3.9789,5.7253,1.4489,15.01,13.247,5.2268,38.665
1.045,1.07,1.0563,-5.0547,-13.862,-14.561,235.46,58.711,-3.605,9.3294,-2.3189,24.858,6.3407,4.7291,2.9415,4.1828,0.66602,9.695,20.801,5.9627,63.324
1.045,1.07,1.0616,-4.7506,-13.279,-14.01,221.45,48.34,-4.3375,5.0154,-0.19794,27.53,7.1437,4.2005,2.2926,8.4084,1.6359,8.9563,14.571,0.65132,48.591
1.045,1.07,1.056,-5.2262,-14.984,-15.569,243.42,56.639,-4.7054,5.7611,-0.79815,29.853,10.575,3.2286,3.2608,7.7262,1.4638,16.546,12.193,7.9074,35.551
1.045,1.07,1.0518,-5.5345,-15.705,-16.444,257.87,60.877,-6.0735,11.681,0.015291,29.669,12.042,7.7173,3.8767,6.3161,0.58517,15.235,14.982,6.2013,40.773
1.045,1.07,1.0569,-4.4564,-13.529,-13.57,208.62,28.259,-2.6479,4.3498,1.1574,22.855,8.7391,7.9255,2.6414,3.9509,1.692,23.493,14.741,5.3732,48.002
1.045,1.07,1.0543,-4.8817,-14.226,-15.102,228.14,37.333,-6.7616,8.9858,0.59898,32.225,13.537,6.5137,2.8086,6.2399,1.5646,14.187,12.189,6.4087,37.258
1.045,1.07,1.0607,-4.1161,-11.912,-11.519,192.79,33.087,-1.9912,5.69,-0.62869,11.732,7.3335,6.4488,3.0951,6.5354,1.2837,16.368,12.618,6.578,47.42
1.045,1.07,1.0572,-4.9003,-13.636,-13.996,228.53,53.172,-1.4631,9.363,-0.31033,24.516,7.467,5.923,5.1043,7.3529,1.6685,12.454,9.4229,5.4165,30.392
1.045,1.07,1.0572,-5.1069,-14.831,-15.596,238.04,48.575,-5.3419,4.8977,1.284,34.089,10.438,4.1227,4.4467,10.215,1.8704,14.201,8.8848,4.7774,26.515
1.045,1.07,1.0535,-5.6351,-16.288,-17.193,262.38,59.538,-3.8115,8.8972,-0.47334,39.455,7.6788,5.439,3.6794,7.4976,1.0628,18.354,14.054,4.374,36.943
1.045,1.07,1.0531,-4.3357,-12.477,-13.629,202.89,23.601,-2.195,7.829,-0.6583,34.594,14.632,7.363,2.6328,8.048,2.3347,4.9445,9.5564,7.3016,31.903
1.045,1.07,1.0486,-5.7281,-16.019,-17.372,266.13,67.559,-3.9313,7.7791,0.21185,44.626,9.2992,7.1323,1.8568,9.786,1.8916,11.593,9.2983,7.1287,24.105
1.045,1.07,1.0564,-4.7079,-13.417,-14.193,219.74,40.543,-3.3955,6.4578,0.97432,23.025,12.551,5.8144,2.8376,6.9491,1.208,7.3425,19.666,5.0875,62.313
1.045,1.07,1.0521,-5.4509,-14.929,-16.224,253.34,65.612,-5.5553,7.5115,1.0154,35.238,7.8765,5.5629,3.181,5.2106,1.8133,8.8752,16.062,6.5614,44.891
1.045,1.07,1.0558,-4.6919,-12.814,-13.513,218.58,51.058,-2.979,5.879,-0.040082,28.87,7.8427,8.2433,1.5429,4.1671,1.5314,13.461,6.7421,4.2885,22.841
1.045,1.07,1.0548,-4.8634,-14.053,-15.028,226.91,40.387,-2.7893,6.1436,-0.2043,32.157,9.9816,6.4024,4.4056,7.9223,1.6815,8.0415,18.038,4.3908,54.624
1.045,1.07,1.0531,-5.0119,-14.365,-15.026,233.57,49.412,-2.3171,5.8618,0.4376,27.516,11.962,6.1228,3.8627,4.4417,1.6855,15.964,13.422,8.0018,40.091
1.045,1.07,1.0552,-5.3234,-15.313,-16.428,248.4,47.512,-1.1629,12.729,-2.5172,39.042,6.2438,4.1947,5.3232,3.4846,2.379,14.374,20.007,2.9631,55.22
1.045,1.07,1.0566,-4.4022,-12.638,-12.375,206.26,35.908,-2.7002,11.246,1.3283,16.69,6.4124,10.528,3.5293,7.5788,1.0742,16.321,9.2707,5.6321,32.901
1.045,1.07,1.0589,-4.7151,-14.284,-14.456,220.92,30.215,-3.1562,9.7095,-1.5543,25.682,8.8,4.6999,3.9722,8.1762,1.4696,17.739,18.677,4.8896,57.591
1.045,1.07,1.0577,-4.6916,-13.966,-14.273,219.36,36.799,-6.197,5.2941,-1.9092,22.499,11.044,5.8546,4.3423,7.0701,0.19618,14.426,20.358,5.4625,63.17
1.045,1.07,1.0538,-5.3284,-15.596,-16.41,248.83,45.683,-4.1564,12.449,-0.11113,36.467,6.2893,6.8851,2.6294,7.5603,1.5831,15.845,19.745,3.71,54.044
1.045,1.07,1.0554,-5.2754,-14.89,-15.899,245.5,57.698,-3.9471,6.0251,-1.1084,31.765,11.007,5.2557,2.4355,4.3559,1.6314,13.977,17.409,3.4337,49.885
1.045,1.07,1.0571,-5.0801,-14.512,-14.836,237.2,50.155,-3.9173,11.418,1.5011,25.636,3.7611,4.2789,4.2959,6.0831,2.6647,16.536,16.799,6.8457,50.617
1.045,1.07,1.0521,-5.4241,-14.771,-15.668,251.87,72.065,-4.311,5.485,0.0591,27.536,12.771,8.3805,1.7505,3.7602,1.857,14.22,11.656,4.7165,33.276
1.045,1.07,1.0472,-5.3785,-14.73,-16.235,250.04,59.305,-1.5408,8.9565,2.8616,44.42,5.8993,8.6091,1.2214,7.6044,1.4889,8.2345,9.2144,8.0745,25.563
1.045,1.07,1.0598,-4.4485,-13.36,-13.961,208.73,19.764,-3.7184,10.595,0.78614,35.471,6.2554,4.6042,4.7591,9.3009,2.4914,14.029,9.6617,3.8165,32.587
1.045,1.07,1.0567,-5.0091,-13.927,-15.088,233.56,48.319,-4.0769,9.8632,0.52904,29.26,9.2999,4.4083,2.3019,4.2034,1.4552,7.4097,21.648,3.5676,65.335
1.045,1.07,1.0561,-4.7036,-12.943,-13.905,219.44,44.432,-3.3447,8.8638,0.55055,29.435,6.3658,6.2312,3.1035,7.1121,1.5632,4.4396,15.926,4.8639,52.593
1.045,1.07,1.0552,-5.0896,-15.119,-15.728,237.71,40.869,-2.2565,8.5974,-0.10028,33.441,7.123,6.4566,1.843,5.9235,0.82338,19.847,18.981,3.7676,54.005
1.045,1.07,1.056,-4.3067,-13.01,-13.283,201.88,21.732,-1.6267,6.4729,0.069481,25.88,10.467,8.894,4.0942,8.8112,1.7273,13.833,12.839,5.0796,43.265
1.045,1.07,1.0584,-4.4805,-12.767,-13.421,209.59,33.442,-2.214,9.2654,-1.0826,24.581,10.723,5.6417,3.9916,4.2311,1.2157,10.515,15.625,4.0893,53.357
1.045,1.07,1.0535,-5.0796,-14.305,-15.395,236.92,47.104,-2.5997,10.752,0.48226,35.927,5.2748,6.4281,2.4768,4.2845,1.8763,11.719,17.914,5.0299,52.798
