V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0587,-4.1055,-12.076,-12.457,192.8,18.667,-5.5824,9.442,1.6543,0.19465,-0.37575,25.45,4.9273,5.9276,4.0991,1.4591,2.2865,16.278,15.345,7.0336,0.70059
1.045,1.07,1.0567,-4.5073,-13.531,-13.719,211.17,28.709,-4.8018,7.8877,2.0658,-1.7923,0.79788,18.989,11.956,6.4341,4.2955,6.3268,1.7512,13.691,22.371,6.1663,-5.523
1.045,1.07,1.0563,-4.7793,-14.333,-14.378,223.57,37.056,-4.7446,7.3274,1.7219,0.45672,0.74171,26.086,4.196,7.5709,2.3404,5.7996,1.1083,22.728,17.736,5.2019,1.3985
1.045,1.07,1.0518,-5.0599,-14.253,-15.147,236.09,47.164,-3.4464,11.78,2.1333,1.3639,0.67289,26.619,14.755,8.8973,4.2793,8.6381,1.4018,6.0915,14.568,5.0011,4.0604
1.045,1.07,1.0574,-4.7941,-13.892,-14.607,224.01,39.072,-3.9934,8.2013,1.2454,-1.5136,-1.301,33.781,9.914,5.012,1.4283,8.4923,1.6858,14.121,10.913,5.989,-4.8203
1.045,1.07,1.0553,-5.0777,-14.047,-15.139,236.46,54.042,-4.6499,7.845,1.6611,0.40373,0.55628,34.515,8.8081,5.2779,1.7784,3.3822,1.5994,13.849,11.004,4.6731,1.2357
1.045,1.07,1.0472,-5.1127,-14.663,-15.967,238.17,46.877,-3.6491,5.9937,1.3418,-2.1913,-1.0183,41.653,6.8604,10.792,2.5209,3.1674,1.4271,12.364,19.595,7.1979,-5.9834
1.045,1.07,1.0549,-5.1682,-14.974,-15.954,240.91,47.346,-2.4972,7.0391,2.1058,-0.90959,-1.3904,36.266,9.7957,4.3885,3.3699,5.2016,2.1578,15.948,15.426,6.1618,-2.5997
1.045,1.07,1.0505,-5.2757,-15.732,-16.746,246.45,38.635,-3.3833,11.123,1.3356,0.12539,0.32564,42.325,9.7267,9.086,2.999,7.4951,1.2608,17.509,14.571,4.0529,0.3373
1.045,1.07,1.0587,-4.5218,-12.304,-12.923,210.52,50.483,-3.9243,2.3392,2.1072,0.54976,-1.4753,17.04,11.838,6.3281,4.3647,4.3821,1.2517,6.744,14.32,4.7311,1.9292
1.045,1.07,1.0524,-5.4284,-15.167,-16.508,252.7,57.549,-5.0274,10.029,1.8068,0.017273,1.2161,37.953,11.166,4.6915,4.1216,6.7545,1.7973,8.8636,13.672,5.6908,0.047967
1.045,1.07,1.0576,-4.1864,-12.391,-12.621,196.12,25.478,-4.7922,4.5598,1.5563,-0.29382,-0.4602,23.812,10.087,8.6633,4.4138,8.3833,2.0265,12.72,9.8093,5.4762,-1.0601
1.045,1.07,1.0511,-5.4671,-15.27,-16.526,254.35,59.816,-3.6948,9.3313,2.4447,0.59636,0.043925,33.663,8.6362,6.8125,3.324,5.9047,1.0016,7.6557,22.423,5.1352,1.5977
1.045,1.07,1.0555,-4.8455,-13.966,-14.233,226.15,46.602,-3.9588,6.8051,1.812,0.25726,1.5,25.08,8.766,7.9602,3.7965,10.932,1.5962,12.369,11.682,4.6811,0.81554
1.045,1.07,1.0537,-5.0351,-14.709,-15.788,235.39,35.185,-2.0019,12.817,1.6242,0.45173,0.32954,39.066,10.489,4.9941,4.3347,6.5076,1.9191,13.526,12.329,5.9049,1.3164
1.045,1.07,1.051,-5.6299,-15.815,-16.834,261.7,67.297,-3.2808,7.3716,0.93226,-0.26871,0.96459,34.242,8.9589,6.4616,2.6566,5.4941,2.2966,14.333,17.861,5.4823,-0.70971
1.045,1.07,1.0631,-4.15,-11.796,-11.881,194.19,33.024,-2.8129,5.3696,1.9584,0.46394,-1.1848,19.213,7.7305,5.2118,3.6533,7.4629,0.59588,13.126,7.2515,3.9561,1.7891
1.045,1.07,1.0553,-4.8987,-13.406,-14.152,228.3,54.265,-5.21,8.6482,1.6277,-0.55814,-1.1199,21.971,10.563,7.0318,4.0302,3.8448,1.8555,8.0814,17.32,6.1928,-1.7735
1.045,1.07,1.0578,-5.4732,-15.436,-16.595,254.54,62.292,-3.7158,5.8842,1.0179,-1.5961,-1.1823,39.685,5.8923,1.1636,3.4842,8.548,1.4407,11.395,16.097,4.8188,-4.4345
1.045,1.07,1.0583,-4.7519,-14.027,-14.416,222.31,35.348,-2.5974,9.1582,1.6595,-0.44796,-1.9086,25.634,10.263,4.7665,4.9299,8.4407,1.7963,13.566,15.882,6.335,-1.4092
1.045,1.07,1.0543,-4.8555,-14.747,-15.636,226.92,30.278,-3.8946,4.9213,1.7568,-0.68487,0.53247,37.637,11.435,5.0197,5.3924,5.3046,1.0932,18.068,14.524,6.1073,-1.9896
1.045,1.07,1.0506,-6.1457,-17.038,-18.268,285.09,83.125,-4.1974,7.4817,0.69879,0.3578,-0.57948,37.877,10.429,7.2214,5.0618,10.427,1.176,9.7794,14.121,3.4613,0.86794
1.045,1.07,1.0561,-4.5404,-12.4,-13.022,211.87,45.335,-3.8905,7.9699,1.6581,0.31427,-0.43449,26.121,8.883,8.1616,2.8259,4.4217,1.9491,11.483,6.1167,5.5499,1.1059
1.045,1.07,1.0544,-5.1614,-14.941,-15.71,240.67,48.819,-4.189,7.7493,2.1446,-0.68213,1.689,31.295,10.339,5.363,4.8162,3.9898,0.89682,16.929,16.02,4.8054,-1.9662
1.045,1.07,1.052,-5.1333,-15.559,-16.605,239.81,33.058,-4.8745,7.559,2.2462,1.8318,0.42867,40.534,9.0143,6.2463,3.288,6.4445,2.0803,17.804,18.853,5.5176,4.9233
1.045,1.07,1.05,-5.6275,-16.046,-17.644,261.56,59.375,-3.6903,5.5487,1.4907,-0.25933,-0.3721,42.002,6.9867,5.929,3.0744,2.8766,1.2754,11.907,26.006,4.5722,-0.6423
1.045,1.07,1.0575,-4.9112,-13.895,-14.342,228.97,50.684,-2.0482,7.1917,2.4155,-0.23381,-0.34049,21.962,9.3995,6.1992,4.3446,5.2682,1.5345,13.355,16.803,3.6628,-0.73197
1.045,1.07,1.0541,-5.5226,-15.673,-16.755,256.73,62.021,-3.2818,4.9894,1.2523,2.8744,-0.7627,29.78,11.511,4.6235,4.1772,4.9653,1.5679,13.22,19.927,4.6685,7.7051
1.045,1.07,1.0599,-4.7426,-13.359,-13.778,221.42,47.021,-5.1531,8.2269,2.1566,-1.6468,0.31941,24.673,8.3214,3.932,5.2634,5.0686,1.3705,14.118,11.048,4.9362,-5.5048
1.045,1.07,1.0569,-4.6381,-12.745,-13.394,216.34,47.283,-2.2715,7.8251,1.6601,-1.3735,-0.72792,25.783,8.8236,6.541,4.8135,6.4907,1.437,7.5353,10.317,5.6065,-4.6901
1.045,1.07,1.0592,-5.0271,-14.516,-14.811,234.58,50.043,-2.7111,8.078,1.727,-0.91863,-0.92893,27.933,3.4629,3.652,4.9277,4.7388,1.2666,19.824,15.726,5.2896,-2.7983
1.045,1.07,1.0519,-5.9194,-17.118,-18.532,275.25,63.154,-4.1579,7.8683,1.4547,-0.70406,0.94342,47.593,8.3147,2.182,2.8307,8.1457,1.5149,16.264,16.483,5.6493,-1.7099
1.045,1.07,1.0556,-4.8764,-12.634,-13.934,226.57,61.886,-3.0226,6.6708,2.2368,-0.92053,-0.29807,30.711,10.444,4.6769,2.3114,3.9915,1.7025,3.71,7.9047,6.006,-3.0277
1.045,1.07,1.0589,-4.6177,-12.924,-13.945,215.81,36.26,-4.1565,10.609,2.686,-0.11436,0.79684,34.532,8.1116,3.0903,2.2061,2.1785,1.4444,14.109,9.1777,4.412,-0.38761
1.045,1.07,1.053,-5.1055,-14.641,-14.899,237.96,55.931,-4.2747,6.6223,1.3056,-1.6404,0.32684,22.881,9.5795,9.2798,3.7184,8.3146,1.2538,13.912,17.445,5.9726,-4.8303
1.045,1.07,1.0571,-4.7649,-13.412,-13.955,222.18,46.97,-3.9456,5.9074,2.063,3.1074,0.68442,25.281,6.3929,4.5819,2.9867,5.9961,2.3399,13.435,12.616,6.6772,10.151
1.045,1.07,1.0614,-4.8399,-13.713,-14.337,225.82,46.269,-3.0317,7.5778,2.4633,0.096348,-1.1801,25.417,9.1061,1.5506,2.6834,6.3884,1.2313,12.821,15.62,4.7038,0.30991
1.045,1.07,1.0556,-4.9269,-14.471,-15.352,230.14,37.334,-4.5399,8.2341,2.702,-0.41855,0.34818,38.291,9.0939,4.5221,2.8418,4.5754,1.6508,19.237,10.726,5.8267,-1.262
1.045,1.07,1.0561,-4.6337,-12.705,-13.893,216.04,42.887,-2.1761,6.8778,1.2706,-0.12627,-1.1295,33.563,5.9402,5.9794,2.5922,4.1526,1.1477,6.2525,14.988,5.0997,-0.42068
1.045,1.07,1.0526,-5.0209,-14.135,-14.903,234.18,49.569,-4.7804,9.6628,1.8243,0.92333,-0.51134,33.207,9.5411,9.0137,4.1338,4.896,1.6678,15.809,5.8915,6.2401,2.8374
1.045,1.07,1.0588,-4.5352,-12.269,-13.027,211.48,46.695,-2.0034,7.2154,1.7673,-0.65408,-0.28126,24.238,8.1909,6.4548,3.4643,4.714,2.2978,6.7594,12.436,2.669,-2.3056
1.045,1.07,1.0554,-4.7219,-13.683,-13.866,220.82,40.635,-4.4047,9.9368,2.0028,-1.5744,0.85679,22.668,10.271,8.8649,4.5391,5.899,2.229,16.15,12.956,4.8137,-5.0872
1.045,1.07,1.056,-5.289,-14.824,-14.829,246.61,63.409,-2.9315,12.279,1.0664,0.15596,0.090148,12.621,12.507,7.5221,1.8948,7.2495,1.3544,15.331,19.096,4.5419,0.45412
1.045,1.07,1.0568,-5.0687,-13.898,-14.66,236.19,56.64,-5.1668,10.462,2.7401,0.45622,-0.18785,25.25,7.326,4.1171,1.9615,3.891,1.8131,11.484,17.812,6.1498,1.4019
1.045,1.07,1.053,-4.9853,-14.2,-15.432,232.55,42.533,-2.0409,8.6698,0.89944,-0.3307,-0.88928,39.776,9.172,5.4947,2.0992,6.3885,1.51,10.833,12.922,7.3698,-0.98561
1.045,1.07,1.0576,-5.1698,-15.271,-15.277,241.41,50.582,-3.5293,8.8714,1.3807,-1.7167,-1.8659,20.11,12.094,8.0736,4.4506,6.5054,2.1692,21.379,17.569,2.6561,-4.9658
1.045,1.07,1.051,-5.8778,-16.775,-18.199,273.27,64.179,-3.9588,8.6376,1.266,1.7391,0.39851,37.04,13.406,4.3561,3.3865,5.237,1.144,13.408,21.062,4.7424,4.252
1.045,1.07,1.0557,-4.8935,-14.051,-14.665,228.31,45.722,-3.0943,6.8114,1.3371,-0.46169,-1.2794,30.249,7.9693,6.828,4.0845,5.5401,1.5255,15.422,12.899,5.7506,-1.4387
1.045,1.07,1.0575,-4.4954,-12.489,-12.529,209.85,46.912,-3.0932,6.7584,2.0448,0.49492,-0.73965,8.3507,14.51,8.2691,2.7359,3.0667,1.0237,13.471,15.113,5.7946,1.7187
1.045,1.07,1.0539,-4.829,-14.855,-15.952,226.32,20.121,-5.2912,10.345,1.5178,-1.7951,0.13731,39.303,17.083,6.1512,3.5073,8.4,1.9508,13.646,15.773,4.5089,-5.084
1.045,1.07,1.0625,-4.2328,-12.589,-13.325,198.61,17.711,-4.3627,7.9457,1.0882,-0.054912,-1.0538,31.574,6.9061,3.7529,2.7199,3.1737,2.3345,15.898,15.368,2.2551,-0.19449
1.045,1.07,1.0555,-5.3206,-15.786,-16.35,248.08,50.589,-5.152,5.7351,1.2462,-0.8029,-0.87148,30.706,10.843,5.5973,4.2754,6.1624,-0.017049,20.296,17.984,5.0129,-2.2057
1.045,1.07,1.0531,-4.9929,-13.909,-14.918,232.64,51.398,-3.6549,7.9981,1.6863,-2.1146,-0.53892,33.098,8.6604,7.287,3.9049,6.7309,1.134,7.2849,15.158,6.2719,-6.4483
1.045,1.07,1.0501,-5.5318,-15.64,-16.78,257.55,59.215,-4.4794,10.421,1.5193,-0.72046,1.5355,38.024,8.5393,7.3366,3.0501,6.151,1.5202,12.592,17.079,5.1869,-1.9262
1.045,1.07,1.0612,-4.697,-13.353,-13.212,219.39,48.97,-4.6523,7.4666,1.3108,0.74354,-0.81015,14.646,9.0972,3.8218,4.168,7.3145,1.4961,16.811,10.954,6.8916,2.5189
1.045,1.07,1.0562,-4.7597,-13.817,-14.354,222.51,37.749,-2.2775,9.5079,1.6934,-0.55058,-0.44129,30.561,9.7123,7.854,0.96412,5.4722,0.98881,18.36,11.263,3.8632,-1.7564
1.045,1.07,1.0594,-4.5945,-12.662,-12.519,214.51,52.252,-3.7217,8.6269,1.0337,-0.76947,0.47762,8.1873,10.123,7.113,3.3472,6.4984,1.6478,10.832,16.595,4.5907,-2.6667
1.045,1.07,1.055,-5.4614,-15.212,-16.454,254.05,61.278,-3.7675,8.5727,1.8799,0.33089,0.023758,36.075,10.801,3.2723,1.5097,4.1681,1.0389,14.372,14.179,4.822,0.92147
1.045,1.07,1.0588,-5.1112,-14.453,-15.248,237.93,55.436,-5.4442,4.1363,1.8168,1.8727,-1.831,25.691,12.014,4.9682,4.6519,4.9026,1.5883,14.063,14.084,2.8644,5.6806
1.045,1.07,1.0549,-4.7322,-13.037,-13.813,220.71,47.293,-3.4926,8.424,1.2959,0.31851,2.6188,24.21,11.012,8.0486,4.1257,7.08,1.7545,5.2539,13.695,2.982,1.051
1.045,1.07,1.0569,-4.7785,-13.598,-14.07,223.19,44.008,-4.5223,8.9893,1.6691,-0.1599,0.18434,23.203,10.561,6.5841,2.331,6.9548,1.3069,12.162,15.548,4.9966,-0.51539
1.045,1.07,1.0591,-5.1028,-14.506,-14.911,238.16,50.998,-1.8009,11.519,1.7076,1.2795,-0.012859,17.673,12.49,2.9328,3.1553,6.7028,1.1482,12.713,20.465,4.4743,3.8183
1.045,1.07,1.0553,-5.0935,-14.357,-15.603,237.44,47.649,-3.2422,9.0826,1.4782,-0.45705,-0.49284,37.197,11.538,4.1483,1.7891,6.8604,0.63196,10.031,12.812,5.341,-1.3622
1.045,1.07,1.0593,-4.8337,-13.739,-13.947,225.62,48.907,-3.4549,7.6109,0.59063,1.8933,0.45075,23.097,7.3457,6.6389,4.687,8.233,1.8825,15.524,8.6116,2.5345,6.2089
1.045,1.07,1.0498,-5.9411,-16.976,-18.225,275.88,70.662,-1.8307,5.9353,1.4756,-1.8266,0.24149,38.42,11.285,5.8956,4.8868,7.0868,1.2366,12.782,21.112,4.466,-4.3974
1.045,1.07,1.0625,-4.7269,-13.555,-13.802,221.16,41.108,-5.8067,10.95,0.94944,0.7145,0.74247,17.191,9.6428,3.408,4.4201,8.9926,1.4635,9.8821,18.854,2.4183,2.3647
1.045,1.07,1.0508,-5.5701,-16.606,-17.131,259.65,53.2,-4.101,8.0856,1.7311,1.0962,0.52567,30.477,9.7224,6.9598,2.7518,7.4485,1.422,20.448,22.664,6.7673,2.7464
1.045,1.07,1.055,-5.1225,-14.948,-15.736,239.26,42.622,-2.3143,11.039,1.0431,-0.74634,0.67182,37.235,6.8576,5.6492,2.3007,5.337,1.3744,18.788,14.663,4.1601,-2.1661
1.045,1.07,1.0543,-4.7901,-12.842,-13.499,223.14,56.246,-4.781,8.4667,1.535,0.11403,0.56185,25.69,8.3361,8.1633,2.7825,2.2052,2.2582,13.096,6.7188,6.4622,0.38193
1.045,1.07,1.0497,-5.3945,-15.342,-16.304,251.41,55.069,-4.7855,11.088,1.2857,-0.84835,2.0158,36.589,9.4109,7.8113,1.2883,4.4375,1.7933,16.955,14.916,6.4296,-2.3314
1.045,1.07,1.0523,-5.7749,-16.434,-17.466,268.32,69.202,-5.569,5.4304,1.6536,0.60859,-0.99786,33.757,10.292,6.3201,2.5246,8.3104,1.8666,13.385,20.203,4.56,1.5498
1.045,1.07,1.0512,-4.8348,-13.985,-14.7,225.76,39.949,-3.3656,7.8249,0.88158,1.3745,0.528,30.365,10.065,9.6447,5.4759,7.2054,2.8375,11.342,12.327,6.6489,4.2192
1.045,1.07,1.0568,-4.9301,-14.058,-14.86,229.94,46.36,-4.3104,6.8058,1.4822,0.41233,-0.80889,31.587,8.6547,3.8724,2.4623,5.5786,1.1618,14.638,13.196,7.0258,1.2803
1.045,1.07,1.0567,-4.786,-14.421,-15.337,223.77,29.056,-3.5329,6.0502,1.8993,-0.45571,0.44957,31.731,10.449,2.2605,4.498,4.395,2.3159,14.057,24.018,6.0405,-1.2947
1.045,1.07,1.0575,-4.5682,-13.515,-14.136,213.59,31.466,-3.0025,5.296,1.6263,-1.2169,0.10014,32.585,7.8611,6.2659,4.0711,7.7019,1.2058,13.726,13.413,3.9215,-3.972
1.045,1.07,1.0582,-4.8485,-13.399,-14.406,225.94,49.069,-3.1778,7.072,1.6814,0.061397,0.0040972,32.042,4.9849,5.0507,3.6001,4.469,1.773,9.4015,15.41,2.3826,0.1979
1.045,1.07,1.0547,-5.3673,-14.532,-16.07,249.58,62.934,-5.3708,8.7343,0.61794,0.16002,-0.68008,40.049,9.1804,4.616,2.7705,5.8683,0.99603,7.2141,10.478,4.479,0.46458
1.045,1.07,1.0589,-4.6052,-12.865,-14.015,214.69,39.496,-1.089,4.5083,1.5025,2.4028,-0.71341,25.181,10.833,3.5117,3.9111,4.1471,1.7512,4.7229,20.542,3.1839,7.8624
1.045,1.07,1.0554,-4.9782,-14.434,-15.353,232.48,39.223,-2.5443,9.8425,1.7893,1.7621,1.2794,33.367,6.1979,3.9525,5.6178,7.7314,1.7597,9.5589,18.646,5.3702,5.215
1.045,1.07,1.0484,-5.7595,-16.316,-17.754,267.37,67.039,-1.9931,4.2268,0.84951,0.75821,0.37839,44.04,7.3307,6.8585,4.3777,7.5231,1.6618,11.632,16.018,5.7071,1.9066
1.045,1.07,1.053,-5.0748,-14.325,-15.437,236.35,50.714,-3.4884,6.2914,1.5478,-0.89678,0.1933,36.12,11.308,6.4068,3.3726,4.8992,1.8779,12.774,10.897,5.7769,-2.6727
1.045,1.07,1.0533,-5.2071,-14.864,-15.663,242.58,53.549,-2.6941,7.3087,1.1367,-0.40706,0.3411,33.091,11.763,7.3679,3.394,6.1643,1.7843,16.213,10.019,4.703,-1.184
1.045,1.07,1.0511,-5.8214,-16.641,-18.173,270.57,63.148,-2.5755,7.4682,1.7556,-1.379,-0.35905,45.877,7.6204,5.4112,3.8733,5.6204,1.7221,13.515,20.007,3.0803,-3.3983
1.045,1.07,1.0511,-5.1084,-14.357,-15.714,238.39,44.926,-4.228,12.472,0.94838,-0.65277,0.28221,42.735,7.3083,9.1828,4.4667,3.8722,2.0668,11.041,11.249,3.8266,-1.9201
1.045,1.07,1.0587,-4.9955,-13.842,-14.578,232.72,54.104,-3.2707,7.4265,1.1417,3.0134,-0.38199,22.896,12.891,4.2787,3.8646,6.9625,2.0323,10.23,10.898,3.7699,9.5319
1.045,1.07,1.0555,-5.3452,-14.581,-14.989,248.46,73.232,-6.0613,6.2782,0.6562,0.9006,0.10627,17.467,7.0378,6.1799,2.7452,5.349,1.8848,11.919,21.159,5.8488,2.6134
1.045,1.07,1.0538,-5.3784,-14.921,-15.642,249.89,67.836,-3.797,4.9514,2.5575,0.93719,-0.41249,24.728,11.8,6.2684,3.2661,7.348,0.55465,11.386,15.235,6.0783,2.6675
1.045,1.07,1.0541,-5.31,-15.389,-16.792,246.99,50.737,-4.6136,2.0185,1.4822,1.9819,0.18549,48.245,5.4627,5.1503,2.9954,4.9699,1.521,18.78,9.7757,2.9408,5.4996
1.045,1.07,1.0516,-5.3017,-15.14,-15.649,246.9,57.963,-3.4933,7.8291,2.5534,0.60229,-0.11328,25.733,11.144,8.1748,3.8519,9.28,1.896,12.462,15.946,7.1376,1.6959
1.045,1.07,1.0567,-5.243,-14.555,-15.101,244.23,61.889,-4.2278,9.9318,1.771,-1.2385,-1.3912,29.424,5.4523,6.3848,3.4495,6.9784,2.2515,14.233,12.482,4.5941,-3.7089
1.045,1.07,1.0541,-4.8645,-13.612,-14.379,226.98,47.486,-4.3384,9.1422,0.67977,-0.34395,0.34566,32.93,9.4603,8.6453,3.6467,2.5749,1.0314,17.274,4.9988,4.802,-1.1052
1.045,1.07,1.0577,-4.7581,-13.251,-14.386,221.92,43.744,-5.2469,7.2546,2.0814,-0.86012,0.33333,35.011,9.2934,4.1839,4.2355,4.6663,1.6958,9.618,9.6025,4.1156,-2.8271
1.045,1.07,1.0619,-4.4826,-12.585,-12.681,209.35,45.267,-6.5265,5.7519,2.5032,-0.36323,-0.052946,14.579,6.9401,3.0384,4.0448,3.534,1.7817,14.29,16.9,6.3156,-1.2768
1.045,1.07,1.0586,-4.6774,-13.439,-13.3,218.73,44.78,-4.2596,9.5518,1.5765,-1.3774,-0.37117,16.301,7.8661,6.8322,3.8553,7.1368,2.0486,15.818,15.575,5.9558,-4.5615
1.045,1.07,1.0572,-5.0491,-14.204,-14.649,235.31,55.801,-4.1733,7.4832,1.3055,0.26936,0.094012,27.524,6.8531,5.7337,6.0565,8.094,1.2514,13.378,9.1746,5.0578,0.83931
1.045,1.07,1.0561,-4.6465,-13.009,-13.732,216.88,42.21,-4.2273,7.2532,0.99626,2.3329,0.15764,28.116,2.4878,6.4074,6.0287,8.5518,1.827,4.6473,16.246,6.1588,7.7471
1.045,1.07,1.0588,-4.7362,-13.321,-13.993,221.05,45.3,-5.3851,7.5603,1.9399,-1.4411,0.5922,27.892,10.989,5.1295,3.9913,9.5198,1.3212,8.1446,9.8278,3.7438,-4.8011
1.045,1.07,1.0569,-5.3384,-15.081,-15.428,248.74,62.349,-5.5326,9.4215,1.6346,-0.15071,-1.6334,19.574,11.127,5.1239,5.4074,4.641,2.315,16.273,17.812,6.1593,-0.43357
1.045,1.07,1.0585,-4.149,-11.58,-11.952,194.2,31.67,-2.8082,8.034,1.5382,-0.20721,1.0201,19.429,13.519,8.0235,3.2501,2.6382,1.6622,13.492,5.5009,3.6165,-0.79007
1.045,1.07,1.0602,-4.4192,-12.881,-12.836,206.99,34.398,-6.2327,8.2571,1.8223,0.05434,0.015275,13.023,12.248,5.9906,2.6679,7.2938,1.5658,13.926,16.928,5.4197,0.18786
1.045,1.07,1.0613,-3.6924,-10.982,-11.523,173.94,4.2619,-4.7214,8.9267,1.9381,-0.19463,0.39326,21.939,8.3348,4.3825,2.2003,4.0151,0.8612,8.2359,20.663,5.4995,-0.71265
1.045,1.07,1.0569,-4.8851,-14.496,-14.825,228.43,39.221,-7.3458,7.9289,0.88992,0.90236,0.88925,28.818,7.8532,5.8987,2.3695,9.4357,1.0853,17.476,14.288,5.8362,2.7799
1.045,1.07,1.0579,-4.9524,-13.818,-14.902,231.01,46.507,-1.7669,10.159,1.3899,-0.46309,-0.29412,37.237,5.1699,3.2842,4.8498,4.645,1.4969,11.257,11.437,4.101,-1.455
1.045,1.07,1.057,-4.7099,-13.405,-13.854,219.97,44.118,-5.4732,7.5797,1.712,-1.6396,-1.4868,24.948,7.8468,6.555,3.4533,4.7006,1.9731,14.057,15.576,6.6436,-5.3555
1.045,1.07,1.058,-4.7903,-14.152,-14.313,223.93,40.183,-4.3846,7.1363,1.5282,-0.093384,-0.72914,20.711,9.8421,5.7826,2.7988,5.6098,1.8179,18.732,19.151,5.596,-0.28858
1.045,1.07,1.0562,-4.8325,-13.306,-14.165,225.23,49.973,-3.6783,7.8137,2.0236,0.73532,-0.3672,27.972,7.6121,7.3641,1.5019,5.8388,1.8737,8.9554,15.058,3.3821,2.3769
1.045,1.07,1.0556,-5.5137,-15.488,-15.697,256.69,68.494,-2.6664,10.504,1.9221,0.76535,-0.82591,23.274,9.9752,6.178,1.5873,8.679,0.71866,18.892,11.481,5.81,2.144
1.045,1.07,1.0563,-5.1069,-13.933,-14.867,237.81,58.505,-3.3336,9.6344,1.4132,-1.0734,0.62613,30.228,6.408,3.3081,2.6144,5.5311,1.2451,8.8075,16.133,6.1972,-3.2827
1.045,1.07,1.0524,-5.1246,-14.163,-15.558,238.68,50.774,-2.1955,9.853,1.7711,0.36721,0.063333,38.668,8.7506,6.8311,4.2275,3.7422,1.2492,8.9618,12.276,4.6691,1.0873
1.045,1.07,1.0563,-5.1108,-14.327,-14.818,238.11,57.406,-3.9757,7.8465,1.613,0.82956,-0.6972,27.417,5.8727,4.8113,3.2255,5.1922,2.4298,16.808,12.443,7.1965,2.5273
1.045,1.07,1.054,-5.1437,-14.91,-16.285,240.01,39.984,-2.8773,9.725,2.0761,0.40738,0.67378,38.978,12.916,5.2178,2.2287,6.1578,0.1001,11.17,17.151,2.9028,1.1485
1.045,1.07,1.0528,-5.3328,-15.308,-15.818,248.58,56.633,-4.1872,9.3982,1.2842,-0.50472,-0.78104,29.649,5.9071,7.7881,2.6868,8.7587,1.7939,14.226,19.506,6.5082,-1.4053
1.045,1.07,1.0586,-5.2364,-15.084,-15.634,244.4,51.132,-5.0731,10.811,1.3815,0.60163,0.57558,22.551,12.471,2.8642,4.9886,8.8086,0.35872,11.246,19.995,4.2228,1.739
1.045,1.07,1.0563,-4.7816,-14.713,-15.484,223.83,24.926,-5.5135,6.6216,2.5365,-0.87457,0.67577,35.454,12.966,5.0701,1.3514,9.2944,2.2901,16.483,17.805,3.9718,-2.5527
1.045,1.07,1.0501,-5.4928,-15.092,-16.453,255.19,66.205,-4.0473,6.9136,1.2545,0.01311,-0.89153,37.146,10.947,8.2956,5.0006,2.8936,2.0629,11.586,11.574,5.4409,0.036164
1.045,1.07,1.0557,-4.8564,-13.973,-14.296,226.65,46.414,-3.6647,7.1023,1.9676,0.45736,1.115,19.91,6.671,6.0205,2.7764,4.2178,1.8909,14.794,24.056,5.8204,1.3581
1.045,1.07,1.0542,-5.6503,-15.661,-16.466,262.41,74.637,-4.7865,5.844,1.2289,0.37076,2.0778,32.766,7.7271,4.8111,1.5551,9.7331,1.9348,13.527,12.532,4.3392,1.0091
1.045,1.07,1.0533,-4.9908,-14.142,-15.294,232.85,44.166,-4.5259,9.3871,1.3879,-0.24527,-0.30685,35.519,8.1481,6.484,2.4554,2.3245,1.8763,13.127,17.362,5.8094,-0.73102
1.045,1.07,1.0449,-5.783,-17.68,-19.434,269.56,40.368,-4.6314,7.8109,1.4973,0.2144,1.2664,52.074,11.36,7.7495,2.7359,3.8826,1.5935,19.041,26.975,4.1265,0.4629
1.045,1.07,1.0554,-4.651,-13.286,-13.419,216.9,48.248,-5.8731,3.0375,1.9309,-0.32606,0.56839,22.944,3.6707,8.0008,2.5668,6.179,1.822,16.069,15.359,7.3292,-1.0712
1.045,1.07,1.0595,-4.7387,-12.85,-13.616,220.84,52.014,-5.1377,7.0515,1.1977,1.6093,-0.51848,22.069,9.3239,5.2436,3.7064,6.3455,1.5493,5.9535,13.465,3.4104,5.463
1.045,1.07,1.0539,-5.4737,-14.77,-15.195,254.26,78.912,-5.0734,7.6203,1.3018,-1.2113,2.4436,21.609,10.512,5.857,2.4657,6.3933,1.5211,13.818,11.358,6.34,-3.4916
1.045,1.07,1.0572,-4.9058,-12.557,-13.581,228.02,66.585,-5.2496,8.1068,1.3153,0.50321,-0.34192,27.523,8.3827,3.994,3.4694,2.8843,1.1062,7.2,3.4335,7.0617,1.6855
1.045,1.07,1.0578,-5.3465,-14.979,-15.376,248.77,66.839,-4.6955,6.4809,1.0255,-0.3598,2.5414,21.01,11.49,2.7328,4.1066,9.205,1.4212,12.401,15.361,4.725,-1.047
1.045,1.07,1.0576,-5.1694,-15.55,-16.749,241.68,33.005,-4.6033,9.9108,0.93117,0.045528,-1.4061,42.642,10.322,2.3943,4.2085,7.2374,1.145,15.99,16.867,3.6845,0.1264
1.045,1.07,1.0531,-5.2012,-15.507,-16.121,242.55,45.762,-3.1682,5.4294,2.2999,-0.57865,-1.1192,36.195,7.4754,7.8132,5.2955,4.8633,1.7613,22.192,14.267,5.3089,-1.6105
