V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,P13,P14,LoadMargin
1.045,1.07,1.0567,-4.7732,-13.198,-14.223,222.47,47.293,-5.0519,6.38,0.19497,35.14,6.6829,5.3682,2.6827,3.0003,13.558,8.1197,22.043
1.045,1.07,1.0566,-4.8811,-13.563,-14.509,227.5,49.643,-3.5214,7.3507,-1.3453,32.344,8.7504,4.9019,-0.27514,3.365,14.329,13.334,27.826
1.045,1.07,1.0518,-5.2837,-14.742,-15.848,245.81,57.617,-2.9187,7.09,2.5384,33.559,7.5204,7.6966,2.6119,8.376,7.8489,16.703,21.416
1.045,1.07,1.0631,-4.5128,-12.907,-13.028,211.13,39.15,-4.3535,8.7049,-0.39647,14.231,5.8055,1.6866,4.3388,1.5423,15.676,23.36,19.257
1.045,1.07,1.0548,-4.9798,-14.161,-15.402,232.13,44.997,-3.9908,6.591,-1.4652,37.145,7.3888,4.7151,5.7583,1.8886,11.776,17.5,22.068
1.045,1.07,1.056,-4.793,-13.366,-14.703,223.48,42.408,-3.0384,7.2371,-0.86725,39.096,10.583,4.2934,3.2491,7.3824,6.4843,8.3915,33.941
1.045,1.07,1.0531,-5.0788,-14.473,-15.06,236.83,51.425,-3.6606,8.623,-0.70759,31.967,9.4408,9.1635,2.0492,7.7779,15.877,9.5083,28.431
1.045,1.07,1.0579,-4.6242,-12.883,-12.879,215.95,48.898,-3.7464,8.8075,0.18556,15.178,6.5194,8.0632,3.1908,4.0643,15.376,14.803,22.27
1.045,1.07,1.0574,-4.0386,-11.299,-11.695,189.05,29.27,-4.6836,6.2298,0.38554,18.246,11.03,9.3827,2.2518,5.982,7.3713,11.737,42.438
1.045,1.07,1.0572,-4.7452,-13.713,-13.902,222.03,39.22,-2.568,11.836,0.8597,18.496,10.304,6.8279,3.8423,4.7405,15.978,17.232,32.932
1.045,1.07,1.0571,-5.0834,-14.615,-15.037,237.17,50.761,-4.3338,8.5971,0.074417,23.05,9.4866,5.1622,4.453,7.1221,13.698,18.862,28.258
1.045,1.07,1.0577,-4.8803,-13.841,-14.236,227.87,48.007,-4.1246,9.7467,-1.0693,20.608,6.7872,5.3654,4.7411,6.9735,9.1898,22.685,20.933
1.045,1.07,1.0569,-5.3097,-14.711,-15.12,247.16,65.802,-3.0384,9.2269,-0.21206,27.15,7.7244,5.1788,2.904,5.7614,18.623,8.2696,22.915
1.045,1.07,1.05,-5.8909,-16.263,-16.994,273.57,81.663,-5.42,8.9717,-2.9778,26.799,11.567,9.1398,2.9211,9.0585,9.926,20.455,29.43
1.045,1.07,1.0533,-5.3446,-14.666,-15.719,248.47,64.895,-4.448,7.1231,0.10314,29.642,10.035,6.5083,2.8277,5.6751,8.9743,16.965,28.79
1.045,1.07,1.052,-5.568,-16.005,-17.206,258.71,62.857,-7.1102,1.9506,-0.49146,40.957,10.344,6.2064,5.1313,5.7164,16.691,12.182,27.489
1.045,1.07,1.0568,-5.1507,-14.895,-15.71,240.18,48.404,-3.0515,7.5748,-0.56822,30.676,7.1759,2.9755,3.0211,4.4616,15.183,22.728,20.369
1.045,1.07,1.0522,-5.7427,-15.465,-16.82,266.58,76.367,-3.4008,9.5221,-0.12223,33.747,12.791,5.2289,3.313,6.4931,7.3687,12.939,34.156
1.045,1.07,1.0527,-5.6303,-16.698,-17.614,262.28,54.422,-6.6193,6.5629,-0.1908,37.822,11.318,5.5329,4.6697,7.3637,19.132,17.347,28.875
1.045,1.07,1.056,-4.8601,-14.094,-15.778,226.88,32.343,-6.2238,6.5179,0.49693,44.625,8.5215,2.3309,2.5949,5.3621,8.1015,18.272,25.168
1.045,1.07,1.0507,-4.8023,-14.219,-15.355,224.68,28.374,-4.8893,9.9966,-0.73479,40.515,6.7933,9.9295,3.3544,6.2306,10.769,19.532,19.581
1.045,1.07,1.0532,-5.3584,-15.085,-15.828,249.28,62.34,-4.0985,6.3294,0.71371,35.539,4.5791,7.5435,2.1316,3.8809,20.558,10.941,13.07
1.045,1.07,1.0588,-4.8756,-13.37,-13.714,227.29,56.2,-2.3733,9.2147,-0.43937,16.683,9.9346,4.7271,3.528,5.6114,10.384,16.19,32.264
1.045,1.07,1.0504,-5.8125,-16.083,-17.22,269.78,75.295,-0.95764,7.301,-0.6126,36.831,6.9146,6.5904,3.4637,5.503,13.22,17.193,17.705
1.045,1.07,1.0569,-5.0049,-14.154,-14.63,233.48,51.546,-3.955,9.264,-0.2599,30.18,9.1517,6.0224,1.8404,7.2597,17.782,6.2513,28.68
1.045,1.07,1.0531,-5.3464,-14.858,-16.234,248.53,59.956,-2.3473,6.0069,-1.0564,41.453,9.5099,4.932,2.13,5.9553,11.627,10.804,26.946
1.045,1.07,1.0565,-4.7654,-14.428,-15.041,222.76,32.037,-4.2823,4.3414,-0.87359,36.471,9.7385,5.7508,1.6887,10.077,17.681,11.996,29.776
1.045,1.07,1.0581,-4.812,-13.097,-13.871,224.41,50.665,-3.3308,10.108,0.88172,26.112,8.2803,4.6156,2.9836,5.8206,8.6517,11.329,27.485
1.045,1.07,1.0566,-5.349,-15.434,-16.37,249.18,53.15,-5.2066,6.8272,1.8918,37.812,9.3506,3.1004,3.6986,8.0796,17.211,9.0025,26.508
1.045,1.07,1.0528,-5.3041,-15.653,-16.624,247.44,44.344,-2.5901,8.7473,0.58338,35.122,12.795,5.9223,2.7911,8.9374,13.611,18.343,34.534
1.045,1.07,1.0628,-4.3205,-12.511,-12.332,202.69,31.363,-4.8274,11.346,0.64903,10.879,5.712,4.0559,3.7228,7.3044,11.564,22.251,19.76
1.045,1.07,1.0535,-5.0595,-14.287,-15.188,235.77,50.602,-4.1179,7.404,1.033,35.625,9.1556,7.8957,3.7169,6.856,13.888,6.7662,27.803
1.045,1.07,1.0547,-4.5142,-12.784,-13.452,210.7,40.256,-5.98,4.3212,-0.93676,27.618,12.477,9.6586,3.5755,4.0573,13.54,7.4073,42.695
1.045,1.07,1.0587,-4.453,-12.563,-13.132,208.52,32.89,-3.7006,12.04,0.0096642,22.865,8.4121,5.5232,3.532,3.778,10.398,16.41,29.209
1.045,1.07,1.0628,-4.3205,-12.327,-12.492,201.68,40.392,-4.1064,1.2122,-0.15601,12.51,6.073,2.3994,3.33,7.258,7.5606,25.491,20.195
1.045,1.07,1.0565,-4.9007,-13.39,-14.112,228.49,52.64,-2.2029,10.598,0.26073,23.15,8.6486,5.7481,4.873,4.3068,8.161,15.796,27.698
1.045,1.07,1.0577,-4.972,-13.454,-14.205,231.73,56.552,-3.2982,11.153,-0.49691,26.116,9.8249,4.5621,2.6531,6.1423,9.2757,10.244,31.643
1.045,1.07,1.0584,-5.3201,-14.671,-15.022,247.52,67.941,-3.4658,8.132,2.3516,20.214,7.3939,3.7398,2.7938,6.5345,15.266,14.826,21.857
1.045,1.07,1.0553,-5.6421,-16.614,-17.15,262.67,60.938,-4.522,5.7931,-0.53669,29.662,7.3766,3.574,3.4791,8.4149,18.191,25.196,18.651
1.045,1.07,1.0567,-4.9319,-13.812,-14.841,230,47.284,-4.4698,8.536,-0.63052,34.069,7.5619,4.3419,1.8498,3.1659,13.62,14.317,23.647
1.045,1.07,1.0585,-4.8014,-13.309,-13.404,224.06,53.483,-4.0954,9.4764,0.78989,16.253,7.4724,6.4949,3.7729,3.8955,15.96,13.311,24.797
1.045,1.07,1.0575,-5.0022,-13.75,-14.556,233.02,55.904,-4.5485,8.1982,-0.04825,28.241,9.5289,4.4681,2.6155,4.9484,12.314,10.856,30.17
1.045,1.07,1.0548,-4.6194,-13.689,-14.684,216.03,27.613,-4.6892,6.2102,0.47103,35.399,4.9195,6.472,1.8554,3.0279,14.285,23.048,14.607
1.045,1.07,1.0566,-4.6685,-13.021,-14.119,217.89,40.16,-3.7551,8.0474,-0.23037,32.488,5.6962,4.97,4.4141,4.524,6.3667,17.321,18.616
1.045,1.07,1.061,-3.9119,-10.373,-10.869,182.45,38.858,-3.4924,0.99166,0.37923,12.438,10.008,5.5544,2.542,5.0384,1.6932,14.378,40.784
1.045,1.07,1.0576,-5.2802,-15.191,-15.278,246.12,59.816,-4.9041,7.9025,0.083638,19.136,10.153,5.2338,5.9714,8.5193,16.445,16.11,29.472
1.045,1.07,1.0553,-5.0434,-14.153,-14.605,234.97,55.8,-2.9272,7.3801,1.1829,23.225,8.926,7.345,2.8775,6.4884,13.821,14.501,27.379
1.045,1.07,1.0543,-5.0676,-14.115,-15.09,235.98,53.537,-3.834,7.0364,1.5114,29.371,8.5236,6.4982,2.4231,7.0065,8.061,17.587,25.631
1.045,1.07,1.0553,-5.1227,-14.741,-15.602,238.28,53.999,-3.8388,0.88027,0.72879,33.955,8.939,5.244,4.1098,9.0399,12.84,12.626,26.315
1.045,1.07,1.0525,-5.7197,-15.934,-16.623,265.43,77.973,-3.9162,4.0652,0.010157,24.907,9.0069,6.6679,4.0766,4.0539,15.76,21.226,23.533
1.045,1.07,1.0593,-4.6151,-12.247,-12.363,214.94,59.354,-2.9835,6.7228,0.90076,11.46,4.4309,6.3184,4.5329,1.8314,11.395,15.468,15.545
1.045,1.07,1.0593,-4.7837,-13.506,-13.999,223.22,47.849,-4.2624,7.1083,-1.412,22.303,7.4242,3.8252,5.1033,4.9271,11.159,19.075,23.937
1.045,1.07,1.0541,-5.0799,-14.652,-15.769,237.17,41.565,-4.9937,10.322,0.60373,43.793,6.4421,6.091,4.748,5.2346,16.595,7.0548,19.111
1.045,1.07,1.0573,-3.978,-11.359,-11.969,186.48,21.723,-6.3663,6.3768,-0.17844,23.513,10.529,8.9815,4.0825,3.4665,9.0102,11.623,40.186
1.045,1.07,1.0568,-5.2984,-14.063,-14.429,245.96,79.483,-4.0252,5.675,-0.23744,17.052,6.1894,5.916,3.2467,6.3113,9.6872,16.576,18.613
1.045,1.07,1.057,-4.5153,-13.319,-13.9,211.32,29.598,-4.3592,7.1129,-1.1818,25.04,13.785,6.4715,3.9783,6.3028,12.003,16.147,44.997
1.045,1.07,1.0524,-5.2812,-14.483,-15.427,245.67,62.432,-0.98382,9.0548,-0.43738,31.032,8.9648,7.6412,3.6402,6.1043,9.5862,13.465,26.096
1.045,1.07,1.0519,-5.6425,-15.904,-17.256,262.31,63.912,-5.4678,7.087,-0.18618,41.591,10.177,5.5368,3.0926,5.452,14.622,12.86,26.921
1.045,1.07,1.0518,-5.7307,-16.208,-17.21,266.53,66.926,-4.2614,9.237,-0.67435,36.532,7.9892,6.3154,4.9743,7.1979,13.573,16.566,20.767
1.045,1.07,1.053,-5.063,-15.254,-15.961,236.5,36.828,-1.1289,7.5176,-0.9084,36.138,7.1888,6.9137,1.9646,4.4682,21.064,21.047,19.69
1.045,1.07,1.0525,-5.2136,-15.094,-15.96,243.41,45.979,-3.9194,11.799,-1.4492,32.285,9.8844,7.5046,3.5583,6.8411,11.669,21.1,27.502
1.045,1.07,1.0549,-4.6164,-13.817,-14.839,215.92,24.359,-2.3399,6.0731,2.0332,41.922,8.2679,6.2712,3.555,4.8008,18.458,7.6145,25.907
1.045,1.07,1.0571,-4.9154,-13.799,-14.057,229.02,56.446,-4.5001,5.5323,-0.99869,21.943,6.6974,6.9903,5.0051,8.104,11.814,14.302,21.353
1.045,1.07,1.0598,-4.5923,-12.68,-12.917,213.96,52.409,-3.1767,3.4552,-0.12089,17.114,7.3805,5.0869,2.5554,3.4443,14.54,14.393,25.537
1.045,1.07,1.0603,-4.5436,-12.853,-13.425,212.45,36.556,-0.26304,9.9716,-0.33027,28.434,5.272,2.8331,3.6224,5.8802,12.059,12.511,18.146
1.045,1.07,1.0539,-5.4974,-15.972,-17.371,256.23,48.229,-3.9089,9.9453,1.3687,41.257,7.9802,2.6335,3.5709,8.2734,10.025,22.405,20.704
1.045,1.07,1.051,-5.4866,-15.76,-16.949,255.51,54.323,-4.2202,8.7883,0.58884,39.058,7.4639,7.138,3.6177,10.229,8.3735,20.007,19.723
1.045,1.07,1.0583,-4.6856,-13.037,-13.64,218.69,46.019,-5.7747,7.7758,0.77255,21.88,9.3326,5.4616,2.2675,3.66,12.019,15.788,31.274
1.045,1.07,1.0557,-4.6635,-13.994,-14.716,218.13,29.464,-4.086,5.8829,-1.774,34.622,4.9555,6.2319,2.2743,5.3489,15.681,22.299,14.734
1.045,1.07,1.0553,-4.8967,-14.376,-15.109,228.81,38.121,-4.3089,8.4074,-0.81403,30.055,10.459,6.246,3.5108,7.6773,11.892,19.254,31.179
1.045,1.07,1.0546,-4.7682,-13.97,-14.821,222.79,35.076,-4.2481,7.0426,-0.27424,33.617,8.1842,7.1394,3.9382,7.4878,11.007,17.102,25.122
1.045,1.07,1.0546,-5.0196,-14.297,-15.039,233.72,52.938,-4.8754,3.4787,-0.30622,34.238,5.8268,7.2233,3.7422,3.3679,18.684,11.091,17.765
1.045,1.07,1.0548,-5.5106,-15.775,-16.668,256.05,64.917,-5.9123,1.8426,0.66374,32.517,13.366,4.5274,3.5138,6.1413,18.307,11.698,36.532
1.045,1.07,1.0549,-5.0128,-13.952,-14.836,233.3,55.535,-2.8808,5.1915,-1.3373,30.782,7.9127,6.191,3.2727,5.7254,10.426,15.172,24.268
1.045,1.07,1.0531,-5.7915,-16.536,-17.419,269.63,65.273,-5.6447,11.313,-0.36738,32.441,10.264,5.1415,4.9861,9.8523,11.347,19.901,26.222
1.045,1.07,1.0519,-5.3903,-15.46,-16.649,251.04,53.738,-4.8153,7.7476,-1.396,31.472,14.365,6.2123,6.4564,3.4973,10.756,21.736,38.426
1.045,1.07,1.0535,-5.1593,-15.163,-15.64,240.73,47.255,-3.7301,7.7162,0.83699,32.158,1.9076,7.9571,2.5683,8.8667,15.817,22.002,5.332
1.045,1.07,1.0556,-5.022,-14.483,-15.699,234.01,43.848,-3.2489,4.6567,0.94264,33.178,10.21,3.312,3.7764,7.1972,7.4309,21.899,29.408
1.045,1.07,1.0593,-4.1555,-12.048,-12.386,194.76,25.059,-3.5897,7.3468,0.37651,21.218,8.434,6.462,2.3521,5.2837,12.231,15.391,30.752
1.045,1.07,1.0555,-5.1863,-15.376,-16.448,241.93,41.24,-3.5069,6.3522,0.73293,38.536,7.9277,2.9967,4.7477,3.9595,17.88,18.931,21.922
1.045,1.07,1.054,-5.2187,-14.945,-15.815,242.8,56.356,-4.958,2.8807,-0.10701,31.192,8.9563,6.3553,5.1596,7.5252,11.194,17.929,25.605
1.045,1.07,1.0566,-4.9189,-13.513,-13.841,228.92,60.803,-3.1188,5.1182,-0.083984,18.315,12.155,7.1397,3.0575,5.1849,14.04,10.203,39.209
1.045,1.07,1.0579,-4.3676,-12.269,-12.976,204.15,34.942,-5.1096,6.6456,-0.057318,22.626,10.987,6.3689,2.7335,3.8843,8.905,15.615,38.761
1.045,1.07,1.0555,-4.772,-13.541,-14.322,222.95,39.093,-1.5516,10.762,1.5752,28.476,12.047,6.6747,1.5396,8.2691,9.8912,11.826,38.619
1.045,1.07,1.0578,-4.7291,-13.775,-14.594,221.08,34.292,-4.5109,8.1559,0.95294,30.711,12.675,4.2001,2.6832,4.7289,15.893,11.651,40.576
1.045,1.07,1.0639,-4.0705,-12.234,-12.535,191.21,15.46,-2.2418,7.7113,-0.16242,30.851,5.7549,1.7045,5.3196,10.962,12.649,6.0308,21.671
1.045,1.07,1.0511,-5.4604,-15.321,-16.739,253.95,59.079,-3.9486,7.3187,-0.22897,43.211,8.7797,6.7383,6.3388,6.7023,9.8197,10.226,24.074
1.045,1.07,1.0596,-4.9168,-14.065,-14.348,229.32,51.912,-6.9779,5.385,-0.25639,17.846,12.327,4.0925,2.9235,7.1918,14.102,17.578,38.787
1.045,1.07,1.0565,-4.7504,-13.656,-14.669,221.98,36.475,-4.6687,8.8193,-1.9328,36.496,7.8231,4.9646,2.0397,6.3065,11.018,15.48,24.753
1.045,1.07,1.0565,-4.8371,-13.941,-14.421,226.28,38.98,-3.327,12.714,0.46897,28.961,5.8345,6.5822,4.8246,5.409,15.445,13.842,18.46
1.045,1.07,1.0543,-5.455,-16.055,-16.689,254.35,53.272,-5.5974,8.4446,-1.1693,35.54,5.3023,5.6478,3.9688,6.615,19.728,19.677,14.168
1.045,1.07,1.0594,-5.0413,-14.095,-14.401,234.93,58.398,-5.2839,7.5149,0.33063,19.439,9.7167,3.9424,3.142,6.8541,14.133,14.653,30.428
1.045,1.07,1.0515,-4.9779,-13.824,-15.463,231.93,45.501,-4.9968,7.9638,-1.2018,42.465,12.523,7.5071,4.2612,2.047,9.3606,8.6108,37.696
1.045,1.07,1.0501,-6.0759,-17.62,-18.458,282.63,68.807,-3.9284,10.56,1.3907,35.968,9.8707,6.8093,5.173,9.0232,17.828,17.813,23.406
1.045,1.07,1.0572,-4.4195,-13.096,-13.659,207.18,24.035,-3.4946,9.5188,-1.2874,30.015,7.6754,6.5278,2.2668,4.3759,15.723,16.691,25.402
1.045,1.07,1.0526,-5.3604,-14.291,-15.423,249.04,70.528,-4.4075,8.6486,-0.68774,37.86,5.4067,7.6294,4.7479,4.66,10.782,5.0135,15.925
1.045,1.07,1.0577,-4.5002,-12.394,-13.143,209.94,43.311,-4.8231,5.698,0.15248,23.194,10.242,6.1647,4.8668,5.0609,6.5122,12.585,35.957
1.045,1.07,1.0579,-4.8612,-14.174,-14.845,227.03,40.429,-3.6401,7.2068,-0.83283,29.55,10.743,3.9,1.8717,7.2164,14.542,16.288,33.169
1.045,1.07,1.053,-5.4568,-15.993,-16.63,254.15,55.649,-2.527,6.4684,-0.31124,33.994,3.5106,6.2738,3.5141,8.7489,15.774,23.692,9.1763
1.045,1.07,1.0523,-5.5085,-15.689,-16.907,256.13,60.731,-5.1711,5.0618,-0.87078,39.25,8.3006,5.7161,3.4109,6.3414,13.028,17.745,22.23
1.045,1.07,1.0453,-6.152,-17.263,-19.373,285.52,71.345,-5.519,8.4127,-1.1235,47.879,12.505,6.7239,3.7628,2.5894,9.6746,23.619,28.201
1.045,1.07,1.0497,-5.4646,-15.796,-16.449,254.22,61.041,-4.7297,4.6707,0.075035,32.417,11.997,10.842,3.1884,7.3598,18.691,11.905,32.449
1.045,1.07,1.0529,-5.3761,-15.285,-16.393,250.46,53.013,-3.0716,9.8951,2.4311,37.623,8.5513,6.0612,3.7487,7.2114,13.014,12.666,23.855
1.045,1.07,1.0551,-4.7065,-14.298,-15.172,220.19,25.949,-4.748,5.5474,-0.12172,32.327,13.19,5.9952,3.9835,6.6652,13.556,19.603,38.859
1.045,1.07,1.0536,-4.546,-12.907,-13.754,212.4,34.984,-1.4115,8.1242,-0.52791,31.087,9.2669,9.1309,3.1846,6.472,8.4257,12.841,30.65
1.045,1.07,1.0613,-4.8183,-13.886,-13.939,224.92,49.184,-4.6508,6.1008,-1.2819,21.906,9.3579,3.3524,2.2741,7.947,19.146,10.532,30.539
1.045,1.07,1.0516,-5.0615,-14.777,-15.467,236.11,44.557,-2.6371,7.1733,1.2615,25.684,12.357,9.2904,4.8713,7.8441,10.377,20.916,34.991
1.045,1.07,1.0549,-5.2584,-13.488,-13.851,243.68,86.323,-0.44586,5.0602,-0.14341,15.526,6.773,7.8382,3.5718,3.2246,10.702,10.971,20.729
1.045,1.07,1.0554,-4.8544,-13.938,-14.498,226.61,44.229,-3.4484,7.8826,-0.50291,27.431,9.3713,7.2435,5.7619,4.3306,15.071,13.138,29.44
1.045,1.07,1.0514,-5.3057,-15.479,-16.772,247.37,45.034,-4.4537,8.2368,0.26151,45.853,6.6384,6.9107,4.4324,7.1679,13.912,13.802,18.12
1.045,1.07,1.0558,-5.6086,-16.334,-17.047,261.2,59.857,-5.1498,7.726,-0.82804,31.051,14.226,3.159,3.2611,6.6657,20.046,15.543,37.62
1.045,1.07,1.0544,-5.1732,-14.632,-15.521,240.67,56.134,-2.1337,4.3474,0.85435,35.665,4.8851,5.8929,3.5961,7.0529,13.585,13.193,14.347
1.045,1.07,1.0561,-4.7114,-12.817,-13.786,219.76,45.98,-3.6079,9.5898,1.9163,31.162,5.5955,6.437,3.7083,3.9886,9.0231,9.6757,18.838
1.045,1.07,1.0537,-5.432,-16.463,-17.598,253.67,37.865,-3.4183,9.8136,0.83905,37.712,14.327,2.9372,6.4869,4.7629,18.119,20.816,36.302
1.045,1.07,1.056,-4.9376,-13.978,-14.323,230.13,53.708,-3.3424,6.0581,-0.96125,24.429,11.178,7.4593,3.7056,7.9957,14.534,9.2621,35.284
1.045,1.07,1.057,-5.0334,-14.307,-14.783,234.67,53.168,-3.8433,7.3977,-1.3705,28.792,13.107,5.5739,3.3173,6.7511,18.35,4.547,40.635
1.045,1.07,1.0623,-4.667,-12.907,-13.543,217.98,43.918,-2.5343,10.41,0.68894,24.167,6.3115,0.62798,1.8282,3.8922,12.268,15.455,21.491
1.045,1.07,1.0548,-4.861,-14.657,-15.108,227.08,35.872,-2.6009,4.7282,1.0974,30.25,12.322,7.3884,2.0566,6.5492,21.84,12.298,36.818
1.045,1.07,1.0584,-5.4242,-14.553,-14.705,251.82,82.182,-2.759,6.1372,0.0011119,16.886,5.8001,4.1961,5.011,6.3593,14.117,12.789,17.054
1.045,1.07,1.0536,-5.0543,-14.639,-15.495,235.65,46.013,-2.6907,6.3479,-0.30082,36.063,8.5673,7.1013,2.8514,7.264,14.864,13.154,25.235
1.045,1.07,1.0532,-4.7365,-13.982,-15.22,221.34,28.895,-4.0676,6.4612,0.81254,39.445,10.147,7.0253,4.1941,3.4477,13.81,14.67,30.555
1.045,1.07,1.0572,-4.8712,-14.214,-15.115,227.31,38.642,-2.7272,5.3863,2.7214,30.751,10.843,3.4902,3.9602,4.3383,15.561,15.062,33.126
1.045,1.07,1.0578,-4.7285,-13.655,-13.542,221.26,42.843,-4.1932,11.495,-0.80007,20.361,7.5618,8.0892,3.2726,9.8708,15.574,11.731,24.936
1.045,1.07,1.0548,-4.9916,-14.306,-15.363,232.73,43.994,-1.5561,6.974,0.54177,33.237,12.231,5.0427,2.6591,7.2024,10.626,14.723,36.532
1.045,1.07,1.0569,-4.7396,-12.883,-13.429,220.52,57.435,-3.9449,3.3506,-0.34519,21.102,10.801,6.9468,3.4734,4.9501,10.615,9.8279,36.407
1.045,1.07,1.0578,-4.6769,-13.684,-13.802,218.44,42.222,-3.9319,4.7576,-0.96354,23.659,7.6769,7.0172,3.2187,9.6909,15.016,13.952,25.044
1.045,1.07,1.0519,-5.1798,-14.999,-16.432,241.62,42.112,-3.9523,9.1096,-1.7567,42.462,9.7226,6.0056,4.7943,3.2267,12.356,18.067,26.887
1.045,1.07,1.056,-4.8746,-14.119,-15.158,227.32,40.687,-3.7731,4.4206,1.0807,34.568,7.2792,4.5109,3.2625,6.1647,11.475,18.272,22.005
1.045,1.07,1.0527,-5.1373,-14.498,-15.179,239.13,57.161,-4.7828,5.1883,0.7537,26.874,8.547,8.9359,2.7914,2.5537,16.78,17.147,25.127
1.045,1.07,1.0529,-5.1805,-15.166,-16.326,241.81,41.831,-6.4758,8.9857,-0.51173,41.381,11.944,6.6016,3.1085,5.2113,17.202,11.249,33.845
1.045,1.07,1.0553,-4.8733,-13.961,-14.399,227.45,46.719,-4.4697,7.6001,-0.32405,24.272,10.378,7.9556,3.1184,5.2065,15.612,14.832,32.5
1.045,1.07,1.0566,-5.2416,-14.851,-15.646,244.11,56.742,-6.3125,6.5872,1.1923,29.939,7.9336,4.2643,3.6201,4.589,15.919,15.842,23.206
1.045,1.07,1.0581,-4.2163,-12.339,-12.825,197.45,25.345,-5.7724,5.0829,1.0439,24.175,10.34,7.4228,3.925,5.8549,12.076,12.349,37.112
1.045,1.07,1.0516,-4.8934,-15.098,-16.023,229.21,22.207,-2.9829,10.065,-0.35154,37.722,13.096,8.2581,4.1238,7.7402,15.087,19.195,35.863
1.045,1.07,1.058,-4.8349,-13.61,-14.064,225.86,46.402,-5.6264,10.868,0.72548,22.78,10.483,5.7706,2.7441,4.3637,15.482,12.254,34.151
1.045,1.07,1.0578,-4.5528,-13.16,-13.481,213.18,34.302,-4.0777,10.822,-1.0715,26.962,8.7564,7.1017,1.8582,10.069,12.321,10.613,29.807
1.045,1.07,1.0562,-5.2318,-14.79,-14.985,243.28,66.329,-4.5944,2.7512,0.35093,21.504,8.989,6.8139,2.491,6.3791,19.446,13.305,26.591
1.045,1.07,1.0587,-4.5411,-13.326,-13.893,212.72,28.248,-4.3148,9.9519,1.1881,26.124,9.0645,4.7805,4.2424,6.4362,12.18,16.672,29.925
1.045,1.07,1.0585,-4.7153,-13.104,-13.827,219.94,46.566,-4.1446,7.1131,0.45118,22.276,10.795,4.2875,4.7093,2.7301,10.835,15.183,35.854
1.045,1.07,1.0562,-4.8658,-13.654,-14.052,226.37,56.571,-1.2403,1.8883,-0.51508,23.909,9.2647,6.9004,3.8318,3.7075,17.521,10.251,29.625
1.045,1.07,1.06,-4.3523,-12.583,-13.136,203.68,29.427,-4.4203,6.5619,1.4735,24.064,8.358,4.2815,1.7052,3.2946,14.856,16.082,29.214
1.045,1.07,1.0592,-4.2694,-13.019,-14.017,200.1,14.223,-3.8837,3.9894,-0.25867,40.511,5.913,2.9859,4.8704,7.8074,11.559,13.975,19.684
1.045,1.07,1.0534,-5.1404,-14.475,-15.417,239.58,52.156,-3.3682,9.2985,-1.0768,30.894,7.3626,6.8568,1.9876,7.4219,7.8262,22.314,21.162
1.045,1.07,1.059,-4.6764,-13.783,-13.805,218.63,39.804,-3.687,6.3749,-0.45597,17.724,5.1919,5.3818,3.6631,8.7632,12.702,25.337,15.772
1.045,1.07,1.0587,-4.7119,-13.347,-14.333,219.83,40.853,-4.1162,5.6811,0.71538,35.267,7.5355,3.139,3.5475,4.9296,13.287,8.8416,24.871
1.045,1.07,1.0559,-4.9133,-14.518,-15.263,229.32,39.815,-3.754,4.9706,-0.60533,34.166,8.6475,5.3514,3.3212,8.1148,14.721,15.909,25.891
1.045,1.07,1.0504,-5.7715,-16.222,-17.463,268.22,68.023,-4.1778,8.2072,0.42695,34.426,12.124,6.6173,1.7744,9.1982,8.6313,20.841,30.742
1.045,1.07,1.0584,-4.9266,-14.253,-14.237,230.22,47.608,-4.253,10.132,0.64673,20.729,3.7825,5.8855,3.4838,2.5666,23.099,17.738,11.71
1.045,1.07,1.0537,-5.502,-15.754,-16.927,256.03,58.052,-4.7003,6.6392,-0.60384,40.343,5.4983,4.2244,2.8927,7.8139,12.445,19.81,14.682
1.045,1.07,1.0586,-5.4252,-15.205,-15.327,252.68,68.239,-5.612,10.04,0.3578,16.74,8.5157,3.9606,4.5973,6.9366,15.935,18.616,24.38
1.045,1.07,1.0567,-5.2997,-14.518,-15.073,246.51,67.502,-2.816,8.3137,0.29334,23.601,8.703,4.7381,0.9434,4.9105,15.376,14.9,25.717
1.045,1.07,1.0539,-5.3594,-14.805,-16.173,249.35,59.652,-5.5879,8.4586,-0.09948,41.178,7.9734,4.8931,2.3629,3.4019,14.006,10.234,22.875
1.045,1.07,1.0582,-4.7587,-12.907,-13.759,221.58,53.621,-4.6275,5.4906,-0.11175,20.778,11.466,4.2054,3.6202,2.9615,7.3064,16.942,37.99
1.045,1.07,1.0556,-5.3889,-15.293,-15.922,251.09,59.337,-5.0932,9.8405,0.27007,25.502,9.6437,4.935,0.93287,4.2504,17.418,21.259,26.842
1.045,1.07,1.0561,-5.1142,-15.12,-15.253,239.15,43.56,-2.4255,12.578,0.41581,23.158,10.008,6.446,3.666,7.0667,19.904,17.529,28.987
1.045,1.07,1.057,-4.682,-13.898,-13.966,219.05,35.944,-3.7905,7.7724,1.4848,20.281,7.9175,7.6285,3.6116,5.5818,18.926,18.171,24.976
1.045,1.07,1.0588,-4.0331,-12.321,-12.411,189.49,14.536,-3.3754,6.3052,-0.3271,20.31,8.441,7.6274,4.4664,5.3481,15.246,18.38,29.376
